Song_ID,Daily Stream,Total Stream,Extract_Date
1DIXPcTDzTj8ZMHt3PDt8p,1299271,503936260,2024-06-28 11:11:02
7KXjTSCq5nL1LoYtL7XAwS,1297777,1020676664,2024-06-28 11:11:02
2SiXAy7TuUkycRVbbWDEpo,1297336,17102760,2024-06-28 11:11:02
3kXoKlD84c6OmIcOLfrfEs,1296555,97860611,2024-06-28 11:11:02
1kuGVB7EU95pJObxwvfwKS,1294697,999770516,2024-06-28 11:11:02
0nrRP2bk19rLc0orkWPQk2,1292985,678841101,2024-06-28 11:11:02
6wsqVwoiVH2kde4k4KKAFU,1290106,481396653,2024-06-28 11:11:02
0B7wvvmu9EISAwZnOpjhNI,1288507,825914800,2024-06-28 11:11:02
2nRMW95dnOILirpjbksLTs,1287205,44786006,2024-06-28 11:11:02
6WzRpISELf3YglGAh7TXcG,1285450,819378026,2024-06-28 11:11:02
561jH07mF1jHuk7KlaeF0s,1284117,986107861,2024-06-28 11:11:02
0LMwmV37RCmBO2so0szAFs,1282116,230422050,2024-06-28 11:11:02
36t6frENUtCYKuZus6aYDO,1281087,181524583,2024-06-28 11:11:02
7w87IxuO7BDcJ3YUqCyMTT,1276238,58208212,2024-06-28 11:11:02
7MmG8p0F9N3C4AXdK6o6Eb,1273547,264970282,2024-06-28 11:11:02
1xK59OXxi2TAAAbmZK0kBL,1273373,1000808247,2024-06-28 11:11:02
3QJsSWa0Xo8MfaRn1gr4Be,1272360,127154315,2024-06-28 11:11:02
7DbdUf8aHSYoliSjO6LZv6,1271802,287349735,2024-06-28 11:11:02
2aPTvyE09vUCRwVvj0I8WK,1271303,57333414,2024-06-28 11:11:02
52eIcoLUM25zbQupAZYoFh,1267900,440050958,2024-06-28 11:11:02
7yNf9YjeO5JXUE3JEBgnYc,1267686,75947269,2024-06-28 11:11:02
69phA1R4gmQsBFRQ3INW8C,1266762,229134452,2024-06-28 11:11:02
3PfIrDoz19wz7qK7tYeu62,1264338,2061593811,2024-06-28 11:11:02
2HbKqm4o0w5wEeEFXm2sD4,1262129,466018464,2024-06-28 11:11:02
1k2pQc5i348DCHwbn5KTdc,1261579,1261579,2024-06-28 11:11:02
6JIC3hbC28JZKZ8AlAqX8h,1260998,1907838347,2024-06-28 11:11:02
